text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km�),Density (P/Km�)
_89 I feel so sorry for her  hope she dnt cry 2nd time,negative,night,31-45,Guyana,786552,196850,4
would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative,morning,46-60,Haiti,11402528,27560,414
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",positive,noon,60-70,Holy See,801,0,2003
My Life Would Suck Without You - Kelly Clarkson,negative,night,70-100,Honduras,9904607,111890,89
revising for exams,neutral,morning,0-20,Hungary,9660351,90530,107
" you should so host the next logies, i only laughed at your bit really",positive,noon,21-30,Iceland,341243,100250,3
 Hi Jordan i`m gonna all of u...I know ur busy and i know ur probably tired. but please reschedule NC. don`t leave us out.,neutral,night,31-45,India,1380004385,2973190,464
__joy i feel like red lea now,positive,morning,46-60,Indonesia,273523615,1811570,151
 I`d love to but I think the trek from London would be a bit too much,neutral,noon,60-70,Iran,83992949,1.63E+06,52
 hey hey,neutral,night,70-100,Iraq,40222493,434320,93
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,negative,morning,0-20,Ireland,4937786,68890,72
Is miserable  i feel like im gona cry  sux!,negative,noon,21-30,Israel,8655535,21640,400
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,positive,night,31-45,Italy,60461826,294140,206
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",positive,morning,46-60,Jamaica,2961167,10830,273
" lol, get watching it again  hehe",neutral,noon,60-70,Japan,126476461,364555,347
 Hope you did great - you certainly spent enough time studying.,positive,night,70-100,Jordan,10203134,88780,115
 btw - downloaded iphone 3.0 sdk,neutral,morning,0-20,Kazakhstan,18776707,2699700,7
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,negative,noon,21-30,Kenya,53771296,569140,94
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",negative,night,31-45,Kiribati,119449,8.10E+02,147
" me? A doctor? *laughs* oh, no, no, no. I was _crane`s patient at Arkham Aslyum, but now I work for him",neutral,morning,46-60,Kuwait,4270571,17820,240
Morning all! Have a GREAT DAY! Off to school I go,positive,noon,60-70,Kyrgyzstan,6524195,191800,34
"now, in a weird mood  muahaz",negative,night,70-100,Laos,7275560,230800,32
 congrats! Photo of dre?,positive,morning,0-20,Latvia,1886198,62200,30
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",positive,noon,21-30,Lebanon,6825445,10230,667
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",positive,night,31-45,Lesotho,2142249,30360,71
 ok. lol. i miss you too. i hope your cramps get better. i know how painful they can be.,neutral,morning,46-60,Liberia,5057681,96320,53
" Oh, and a very good review",positive,noon,60-70,Libya,6871292,1759540,4
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,negative,night,70-100,Liechtenstein,38128,160,238
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,negative,morning,0-20,Lithuania,2722289,6.27E+04,43
 its hilarious,positive,noon,21-30,Luxembourg,625978,2590,242
 I love the guy that was standing behind me,positive,night,31-45,Madagascar,27691018,581795,48
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,positive,morning,46-60,Malawi,19129952,94280,203
lost my DC hat ..,negative,noon,60-70,Malaysia,32365999,328550,99
starting the video editing of the first spanking movie we did with Mina ... it will be added to the next update,neutral,night,70-100,Maldives,540544,300,1802
"   In effect, your podcast IS the audio version of your book. Isn`****? (plus, it has the added charm of banter  )",neutral,morning,0-20,Mali,20250833,1220190,17
"Sunny synday morning. Nicole is up later than usual, mommy got some sleep",neutral,noon,21-30,Malta,441543,320,1380
Browsing  find everything about university & interior design.,neutral,night,31-45,Marshall Islands,59190,180,329
I have not tweeted for SIXTEEN DAYS! I miss it =( I`ve been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,neutral,morning,46-60,Mauritania,4649658,1030700,5
 visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,neutral,noon,60-70,Mauritius,1271768,2.03E+03,626
 I am soo excited about your pasadena seminar...if only i can find the confermation email,positive,night,70-100,Mexico,128932753,1943950,66
Ugh I don`t feel well again all of a sudden,negative,morning,0-20,Micronesia,115023,700,164
I want a new phone  I`ve seen too much cellphone commercials (,negative,noon,21-30,Moldova,4033963,32850,123
 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,negative,night,31-45,Monaco,39242,1,26337
 http://twitpic.com/4vuuy - That`s so cool.,positive,morning,46-60,Mongolia,3278290,1553560,2
school. 39 days !!! so exited. Amazing premier ,positive,noon,60-70,Montenegro,628066,13450,47
  tis very useful indeed esp. for newbies like me!,positive,night,70-100,Morocco,36910560,446300,83
Gonna go and see my sister at Mount Sinai ....  she`s there for at least another 24 hours.,neutral,morning,0-20,Mozambique,31255435,786380,40
 it was just the handle tg,neutral,noon,21-30,Myanmar (formerly Burma),54409800,653290,83
backe backe... MUFFINS!!!,neutral,night,31-45,Namibia,2540905,8.23E+05,3
is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,positive,morning,46-60,Nauru,10824,20,541
lasttt mondayyy of classs,neutral,noon,60-70,Nepal,29136808,143350,203
 yup!  Now I can join in on the nin access fun!,positive,night,70-100,Netherlands,17134872,33720,508
"I just walked into work, all the while thinking that I was sitting in Bellagio this time Wednesday.",neutral,morning,0-20,New Zealand,4822233,263310,18
 unfair  I wanna go too.,negative,noon,21-30,Nicaragua,6624554,120340,55
Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,positive,night,31-45,Niger,24206644,1266700,19
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,negative,morning,46-60,Nigeria,206139589,910770,226
" Aww, that`s sad.  I miss seeing you guys on the big screen.",negative,noon,60-70,North Korea,25778816,120410,214
 I knooww  & my hot water bottle iss in whangamata without me. ahhhhh,neutral,night,70-100,North Macedonia,2083374,25220,83
" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",negative,morning,0-20,Norway,5421241,3.65E+05,15
 Thank you so much phaoloo !!!!,positive,noon,21-30,Oman,5106626,309500,16
 the hotel should be thankful,positive,night,31-45,Pakistan,220892340,770880,287
"Watching GH. I feel so bad for Carly.  OMG, so **** up.",negative,morning,46-60,Palau,18094,460,39
 rofl that`s what we like to hear,positive,noon,60-70,Palestine State,5101414,6020,847
"Ok I`m frustrated, there is hella dust between the screens of my blackberry",negative,night,70-100,Panama,4314767,74340,58
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,negative,morning,0-20,Papua New Guinea,8947024,452860,20
 We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party,neutral,noon,21-30,Paraguay,7132538,397300,18
"Change of plans, working inside bar tonight",neutral,night,31-45,Peru,32971854,1280000,26
 thanks for following,positive,morning,46-60,Philippines,109581078,298170,368
" Well, good luck then.",positive,noon,60-70,Poland,37846611,3.06E+05,124
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,negative,night,70-100,Portugal,10196709,91590,111
Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,negative,morning,0-20,Qatar,2881053,11610,248
Undervote is just going on  I`m all overalled up,neutral,noon,21-30,Romania,19237691,230170,84
making german apple slice  nom nom nom,positive,night,31-45,Russia,145934462,16376870,9
Looks like its another night at the office lol,neutral,morning,46-60,Rwanda,12952218,24670,525
My tummy hurts,negative,noon,60-70,Saint Kitts and Nevis,53199,260,205
Got about 2 hours sleep.,neutral,night,70-100,Saint Lucia,183627,610,301
Anybody else experiencing painful slowdowns with facebook?,negative,morning,0-20,Saint Vincent and the Grenadines,110940,390,284
Lol..2 people in falcon..and boo one of them being becca,neutral,noon,21-30,Samoa,198414,2830,70
i really need to earn money... so that i can watch the PCD concert,neutral,night,31-45,San Marino,33931,6.00E+01,566
The poor Pirate had out his last wisdom tooth and is looking really peaky.,negative,morning,46-60,Sao Tome and Principe,219159,960,228
Mozzer cancelled tonight by the looks of it.,positive,noon,60-70,Saudi Arabia,34813871,2149690,16
"waiting for aaron to get into town, and then leave him for work. booo",negative,night,70-100,Senegal,16743927,192530,87
morning tweat tweat twitter,neutral,morning,0-20,Serbia,8737371,87460,100
Headed home ... Charlie`s at the vet,neutral,noon,21-30,Seychelles,98347,460,214
i wanna b maliks from taking the stage,neutral,night,31-45,Sierra Leone,7976983,72180,111
is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],positive,morning,46-60,Singapore,5850342,700,8358
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",negative,noon,60-70,Slovakia,5459642,48088,114
 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,negative,night,70-100,Slovenia,2078938,20140,103
about to go to leeds shopping,neutral,morning,0-20,Solomon Islands,686884,2.80E+04,25
" Sadly, I can`t view that site due to region restrictions",negative,noon,21-30,Somalia,15893222,627340,25
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",negative,night,31-45,South Africa,59308690,1213090,49
Aly & AJ new album this summer. YAY!,positive,morning,46-60,South Korea,51269185,97230,527
_day26 ~ Awwwww have fun with the fam boo boo,positive,noon,60-70,South Sudan,11193725,610952,18
@ lovelytrinkets I like the way you worded that about Rocky Road,positive,night,70-100,Spain,46754778,498800,94
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,positive,morning,0-20,Sri Lanka,21413249,62710,341
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,negative,noon,21-30,Sudan,43849260,1765048,25
I have nothing witty to say,neutral,night,31-45,Suriname,586632,156000,4
 me too.,neutral,morning,46-60,Sweden,10099265,410340,25
Hi ho  hi ho it`s off to work we go,neutral,noon,60-70,Switzerland,8654622,3.95E+04,219
 Thanks for the hint.  http://tinyurl.com/chtx7e.,positive,night,70-100,Syria,17500658,183630,95
" u welcome babe, kill the show! Yuuupp!",positive,morning,0-20,Tajikistan,9537645,139960,68
" Hey, Candis.",neutral,noon,21-30,Tanzania,59734218,885800,67
 I was never a good stereotypical teen,negative,night,31-45,Thailand,69799978,510890,137
I love my Maitu. N she loves me. Happy mothers day mama!,positive,morning,46-60,Timor-Leste,1318445,14870,89
 i am so sorry,negative,noon,60-70,Togo,8278724,54390,152
i want to go to singapore but my mother seems not,neutral,night,70-100,Tonga,105695,720,147
JB on the front of factor x!!!!! wooh contest timeee,neutral,morning,0-20,Trinidad and Tobago,1399488,5130,273
 so u aren`t going to be in Chicago,neutral,noon,21-30,Tunisia,11818619,155360,76
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,positive,night,31-45,Turkey,84339067,7.70E+05,110
So tired.,negative,morning,46-60,Turkmenistan,6031200,469930,13
had a lovely breakfast with mum...yummy pancakes,positive,noon,60-70,Tuvalu,11792,30,393
 Yay! have fun,positive,night,70-100,Uganda,45741007,199810,229
 Why thank you... Us Mami`s are bringin` sexy back...,positive,morning,0-20,Ukraine,43733762,579320,75
 lucky! that`s awesome,positive,noon,21-30,United Arab Emirates,9890402,83600,118
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",negative,night,31-45,United Kingdom,67886011,241930,281
"I am craving Burrito Boys - Large halibut, with everything on it, no jalepenos, 1 line hot sauce. Can anybody hook me up?",neutral,morning,46-60,United States of America,331002651,9147420,36
Oh is that time for real?,neutral,noon,60-70,Uruguay,3473730,175020,20
So now we`ll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,neutral,night,70-100,Uzbekistan,33469203,425400,79
